Datetime,Water Level (m)
2023-02-07 18:00:00,-0.1865345
2023-02-07 19:00:00,-0.1764622
2023-02-07 20:00:00,-0.12539989
2023-02-07 21:00:00,-0.06655719
2023-02-07 22:00:00,0.017759833
2023-02-07 23:00:00,0.06935624
2023-02-08 00:00:00,0.08405321
2023-02-08 01:00:00,0.06414979
2023-02-08 02:00:00,0.0241446
2023-02-08 03:00:00,-0.015976094
2023-02-08 04:00:00,-0.05969865
2023-02-08 05:00:00,-0.1062504
2023-02-08 06:00:00,-0.15038592
2023-02-08 07:00:00,-0.17263441
2023-02-08 08:00:00,-0.14302401
2023-02-08 09:00:00,-0.09292261
2023-02-08 10:00:00,-0.041252337
2023-02-08 11:00:00,0.0008868629
2023-02-08 12:00:00,0.016302481
2023-02-08 13:00:00,-0.0057384963
2023-02-08 14:00:00,-0.041728504
2023-02-08 15:00:00,-0.07879618
2023-02-08 16:00:00,-0.12175531
2023-02-08 17:00:00,-0.16477275
2023-02-08 18:00:00,-0.20512673
2023-02-08 19:00:00,-0.2187912
2023-02-08 20:00:00,-0.18086974
2023-02-08 21:00:00,-0.12428602
2023-02-08 22:00:00,-0.03810294
2023-02-08 23:00:00,0.038566843
2023-02-09 00:00:00,0.05949624
2023-02-09 01:00:00,0.049039043
2023-02-09 02:00:00,0.012909925
2023-02-09 03:00:00,-0.026934635
2023-02-09 04:00:00,-0.06862829
2023-02-09 05:00:00,-0.11421352
2023-02-09 06:00:00,-0.15932225
2023-02-09 07:00:00,-0.19525857
2023-02-09 08:00:00,-0.19135171
2023-02-09 09:00:00,-0.14788847
2023-02-09 10:00:00,-0.09836647
2023-02-09 11:00:00,-0.04828086
2023-02-09 12:00:00,-0.0149010345
2023-02-09 13:00:00,-0.014589281
2023-02-09 14:00:00,-0.045461144
2023-02-09 15:00:00,-0.080083564
2023-02-09 16:00:00,-0.11846701
2023-02-09 17:00:00,-0.15979198
2023-02-09 18:00:00,-0.20216534
2023-02-09 19:00:00,-0.23228295
2023-02-09 20:00:00,-0.21717821
2023-02-09 21:00:00,-0.16660357
2023-02-09 22:00:00,-0.10802395
2023-02-09 23:00:00,-0.019966453
2023-02-10 00:00:00,0.019835966
2023-02-10 01:00:00,0.024974326
2023-02-10 02:00:00,-0.0016868945
2023-02-10 03:00:00,-0.040095042
2023-02-10 04:00:00,-0.07933046
2023-02-10 05:00:00,-0.122709684
2023-02-10 06:00:00,-0.16717193
2023-02-10 07:00:00,-0.20996784
2023-02-10 08:00:00,-0.22986902
2023-02-10 09:00:00,-0.20277242
2023-02-10 10:00:00,-0.15540864
2023-02-10 11:00:00,-0.10549692
2023-02-10 12:00:00,-0.05990279
2023-02-10 13:00:00,-0.03808173
2023-02-10 14:00:00,-0.054802366
2023-02-10 15:00:00,-0.08934133
2023-02-10 16:00:00,-0.12415621
2023-02-10 17:00:00,-0.16096382
2023-02-10 18:00:00,-0.20140576
2023-02-10 19:00:00,-0.2395278
2023-02-10 20:00:00,-0.2505682
2023-02-10 21:00:00,-0.21321943
2023-02-10 22:00:00,-0.16123083
2023-02-10 23:00:00,-0.10441784
2023-02-11 00:00:00,-0.0509901
2023-02-11 01:00:00,-0.019942235
2023-02-11 02:00:00,-0.02955737
2023-02-11 03:00:00,-0.06557372
2023-02-11 04:00:00,-0.10191254
2023-02-11 05:00:00,-0.14131352
2023-02-11 06:00:00,-0.18292242
2023-02-11 07:00:00,-0.22633654
2023-02-11 08:00:00,-0.2593382
2023-02-11 09:00:00,-0.25325593
2023-02-11 10:00:00,-0.2120178
2023-02-11 11:00:00,-0.1646359
2023-02-11 12:00:00,-0.11518256
2023-02-11 13:00:00,-0.0757373
2023-02-11 14:00:00,-0.06536093
2023-02-11 15:00:00,-0.08902576
2023-02-11 16:00:00,-0.120341875
2023-02-11 17:00:00,-0.15388842
2023-02-11 18:00:00,-0.19080254
2023-02-11 19:00:00,-0.2288967
2023-02-11 20:00:00,-0.25531375
2023-02-11 21:00:00,-0.23954865
2023-02-11 22:00:00,-0.1933378
2023-02-11 23:00:00,-0.14436804
2023-02-12 00:00:00,-0.09128734
2023-02-12 01:00:00,-0.05098512
2023-02-12 02:00:00,-0.041394193
2023-02-12 03:00:00,-0.06969196
2023-02-12 04:00:00,-0.104425214
2023-02-12 05:00:00,-0.14057733
2023-02-12 06:00:00,-0.17920926
2023-02-12 07:00:00,-0.22153701
2023-02-12 08:00:00,-0.26064554
2023-02-12 09:00:00,-0.27761954
2023-02-12 10:00:00,-0.2542428
2023-02-12 11:00:00,-0.21271625
2023-02-12 12:00:00,-0.1664458
2023-02-12 13:00:00,-0.11837003
2023-02-12 14:00:00,-0.084641494
2023-02-12 15:00:00,-0.08195344
2023-02-12 16:00:00,-0.10785232
2023-02-12 17:00:00,-0.13952054
2023-02-12 18:00:00,-0.17341955
2023-02-12 19:00:00,-0.20837879
2023-02-12 20:00:00,-0.24179056
2023-02-12 21:00:00,-0.25556085
2023-02-12 22:00:00,-0.2283107
2023-02-12 23:00:00,-0.1868837
2023-02-13 00:00:00,-0.14436196
2023-02-13 01:00:00,-0.10279755
2023-02-13 02:00:00,-0.08019745
2023-02-13 03:00:00,-0.09268384
2023-02-13 04:00:00,-0.12549795
2023-02-13 05:00:00,-0.16003695
2023-02-13 06:00:00,-0.19660947
2023-02-13 07:00:00,-0.23827615
2023-02-13 08:00:00,-0.28060573
2023-02-13 09:00:00,-0.317047
2023-02-13 10:00:00,-0.32683122
2023-02-13 11:00:00,-0.30147398
2023-02-13 12:00:00,-0.26325738
